config,scheme,dbSize,repeats,avg_numSent,avg_offTotal_ms,avg_retrieval_us,avg_totalOnline_ms,avg_rcvd,avg_pdr_pct,avg_throughput_pps
AOOSE_N10,AOOSE,10,2,2885.0,47.431,0.000695,3.9383,1930.5,66.92,9.6167
AOOSE_N100,AOOSE,100,2,2898.0,392.57,0.000695,3.3602,1831.0,63.18,9.66
AOOSE_N200,AOOSE,200,2,2920.0,609.06,0.000695,2.5231,2000.0,68.49,9.7333
AOOSE_N400,AOOSE,400,2,2914.0,1186.04,0.000695,2.5291,1777.5,61.0,9.7133
AOOSE_N600,AOOSE,600,2,2908.0,1789.14,0.000695,2.5405,1986.0,68.29,9.6933
AOOSE_N1000,AOOSE,1000,2,2897.0,2945.5,0.000695,2.5352,1812.0,62.55,9.6567
COOSE_N10,COOSE,10,2,2881.0,60.7,0.000709,4.0797,1796.5,62.36,9.6033
COOSE_N100,COOSE,100,2,2886.0,540.38,0.000709,3.7608,1809.5,62.7,9.62
COOSE_N200,COOSE,200,2,2905.0,815.5,0.000709,2.9677,1795.0,61.79,9.6833
COOSE_N400,COOSE,400,2,2901.0,1589.24,0.000709,2.8587,1812.0,62.46,9.67
COOSE_N600,COOSE,600,2,2891.0,2403.12,0.000709,2.9069,1828.0,63.23,9.6367
COOSE_N1000,COOSE,1000,2,2876.0,4003.7,0.000709,2.8907,1867.5,64.93,9.5867
Baseline_N10,Baseline,10,2,2996.0,76.7,0.00347,0.0857,1834.5,61.23,9.9867
Baseline_N100,Baseline,100,2,2994.0,467.84,0.0347,0.0296,1841.5,61.51,9.98
Baseline_N200,Baseline,200,2,2989.0,964.36,0.0694,0.0274,1942.0,64.97,9.9633
Baseline_N400,Baseline,400,2,2980.0,1897.28,0.1388,0.0241,1985.0,66.61,9.9333
Baseline_N600,Baseline,600,2,2971.0,2809.62,0.2082,0.0232,1823.0,61.36,9.9033
Baseline_N1000,Baseline,1000,2,2953.0,4574.9,0.347,0.0201,1912.5,64.76,9.8433
